panel	gene_symbol	comparison	baseline_mean_diff	baseline_bh_q	n_loo_runs	sign_match_runs	sign_flip_runs	q05_retained_runs	q10_retained_runs
Oncology_II	ADAM9	PT1-PR1	0.41963	0.09384957351927072	10	10	0	0	2
Oncology_II	NCR3LG1	PT1-PR1	0.27297	0.09384957351927072	10	10	0	0	3
Neurology_II	RGS10	PT1-PR1	0.49827	0.09402516083223852	10	10	0	0	1
Inflammation	BSG	PT1-PR1	-0.05963	0.10137141630023262	10	10	0	0	1
Neurology	ASGR1	PT1-PR1	0.244789	0.10137141630023262	10	10	0	0	1
Cardiometabolic	SOST	PT1-PR1	0.45418	0.10150113085829639	10	10	0	0	1
Cardiometabolic	CTF1	PT1-PR1	0.59035	0.10218566111478254	10	10	0	0	2
Cardiometabolic	THBS4	PT1-PR1	-0.22619	0.10218566111478254	10	10	0	0	1
Cardiometabolic_II	IGSF9	PT1-PR1	0.29958	0.10218566111478254	10	10	0	0	1
Inflammation	TNFSF12	PT1-PR1	0.22409	0.10218566111478254	10	10	0	0	1
Inflammation_II	ALPI	PT1-PR1	-0.42415	0.10218566111478254	10	10	0	0	1
Oncology	MDK	PT1-PR1	0.3618	0.10218566111478254	10	10	0	0	2
Oncology	WIF1	PT1-PR1	0.2783	0.10298322967824897	10	10	0	1	1
Inflammation	GZMA	PT1-PR1	0.19648	0.10502129880667217	10	10	0	0	2
Oncology_II	UNC79	PT1-PR1	0.57047	0.10938170971166229	10	10	0	0	1
Cardiometabolic	FCRL1	PT1-PR1	0.22326	0.11561566538248778	10	10	0	0	0
Oncology	PPP1R12A	PT1-PR1	0.92762	0.1226134934158546	10	10	0	0	1
Cardiometabolic	CA3	PT1-PR1	-0.41229	0.126713392787382	10	10	0	0	0
Cardiometabolic	DOK2	PT1-PR1	1.14409	0.126713392787382	10	10	0	0	0
Cardiometabolic	SNAP23	PT1-PR1	1.1754	0.126713392787382	10	10	0	0	1
Inflammation	CD79B	PT1-PR1	0.15672	0.126713392787382	10	10	0	0	0
Inflammation	CTSO	PT1-PR1	0.22244	0.126713392787382	10	10	0	0	1
Inflammation	PRSS8	PT1-PR1	0.16772	0.126713392787382	10	10	0	1	1
Neurology_II	INSL3	PT1-PR1	0.32675	0.126713392787382	10	10	0	0	1
Cardiometabolic_II	PRKD2	PT1-PR1	0.50862	0.13175086321779694	10	10	0	0	0
Cardiometabolic	CA13	PT1-PR1	1.04545	0.13245572414749635	10	10	0	0	0
Cardiometabolic	CNST	PT1-PR1	0.82931	0.13245572414749635	10	10	0	0	0
Cardiometabolic	CXCL5	PT1-PR1	0.90416	0.13245572414749635	10	10	0	0	1
Cardiometabolic	DIABLO	PT1-PR1	1.15157	0.13245572414749635	10	10	0	0	0
Cardiometabolic	GRAP2	PT1-PR1	0.93939	0.13245572414749635	10	10	0	0	0
Cardiometabolic	PCDH17	PT1-PR1	0.24055	0.13245572414749635	10	10	0	0	0
Cardiometabolic	PPIB	PT1-PR1	0.80868	0.13245572414749635	10	10	0	0	0
Cardiometabolic	STK4	PT1-PR1	0.69458	0.13245572414749635	10	10	0	0	1
Cardiometabolic	WASF1	PT1-PR1	0.99367	0.13245572414749635	10	10	0	0	0
Cardiometabolic_II	ECI2	PT1-PR1	0.53128	0.13245572414749635	10	10	0	0	0
Cardiometabolic_II	TNN	PT1-PR1	0.24564	0.13245572414749635	10	10	0	0	0
Inflammation	FSTL3	PT1-PR1	0.19711	0.13245572414749635	10	10	0	0	0
Inflammation	IL1RN	PT1-PR1	0.21699	0.13245572414749635	10	10	0	0	1
Inflammation	TNFRSF11B	PT1-PR1	0.21423	0.13245572414749635	10	10	0	0	1
Inflammation_II	KLK7	PT1-PR1	0.277475	0.13245572414749635	10	10	0	0	1
Inflammation_II	RICTOR	PT1-PR1	0.526938	0.13245572414749635	10	10	0	0	1
Inflammation_II	SPINK2	PT1-PR1	0.1294	0.13245572414749635	10	10	0	0	0
Neurology	GNLY	PT1-PR1	0.15179	0.13245572414749635	10	10	0	0	1
Neurology	VCAN	PT1-PR1	0.23463	0.13245572414749635	10	10	0	1	1
Neurology_II	AK2	PT1-PR1	1.01263	0.13245572414749635	10	10	0	0	0
Neurology_II	GSTT2B	PT1-PR1	0.49481	0.13245572414749635	10	10	0	0	0
Neurology_II	LDLRAP1	PT1-PR1	0.60456	0.13245572414749635	10	10	0	0	0
Neurology_II	PLEKHO1	PT1-PR1	0.64502	0.13245572414749635	10	10	0	0	1
Oncology	CNPY4	PT1-PR1	0.53396	0.13245572414749635	10	10	0	0	0
Oncology	COX5B	PT1-PR1	0.50716	0.13245572414749635	10	10	0	0	1
Oncology	NUCB2	PT1-PR1	0.36043	0.13245572414749635	10	10	0	0	1
